标题	搜索量	内容
亚太携手播种 结出幸福果实	4963321	习近平主席在亚太经合组织第二十九次领导人非正式会议发表的重要讲话引发热烈反响。泰国各界人士表示，这为再创亚太合作新辉煌注入了强劲动力。
20条发布10天 各地防疫有啥调整？	4922020	自11日进一步优化疫情防控二十条措施发布以来，各地陆续出台相关调整政策，进一步提高疫情防控的科学性、精准性、有效性。
多人未做核酸却出结果？山西回应	4858289	20日，山西朔州多名居民称没做核酸就有了采样结果，且记录上显示采样与出结果时间一致。朔州市卫健委回应称，系第三方平台操作失误，正按要求撤回。
感知中国式现代化的世界意义	4751009	党的二十大报告指出，中国式现代化为人类实现现代化提供了新的选择。如何读懂中国式现代化的世界意义？中外人士展开深入研讨。
在公厕被打女子回应：没有衣着暴露	4668037	11月20日，浙江金华“女子在公共厕所被殴打”事件中，被打女子回应称，事发时没有衣着暴露，事发前不认识涉事男子，希望网友口下留情。
男子养儿10年发现非亲生起诉前妻	4518281	
女子称饭店被4男子暴力催收卫生费	4405299	近日，云南楚雄碧城镇上有四名男子突然来到一家饭店，向店主夫妻暴力催收2040元卫生费。但当店员曹女士问起收费标准时，对方根本不解释。
车位被占男子把占位车丢河里	4355429	
波兰拒绝俄外长拉夫罗夫入境参会	4227600	波兰日前表示，俄外长拉夫罗夫属于欧盟制裁人员，不会让其入境参加欧安组织在罗兹举行的外交部长会议。对此，俄罗斯外交部回应称，属于挑衅做法。
日本东京政府鼓励民众穿高领毛衣	4151122	
拜登在白宫草坪为孙女主持婚礼	4030277	综合美国政治新闻网报道及美国白宫网站发布的消息，美国总统乔·拜登和他的妻子吉尔·拜登当地时间19日在白宫主持了他们的长孙女娜奥米·拜登的婚礼。
19岁男子在公厕殴打女子被批捕	3909743	11月19日，浙江一起“女子在公共厕所被殴打”的案件引发网友关注。20日，浙江永康警方通报：民警已将犯罪嫌疑人俞某（男，19岁）抓获归案。
《假爸爸》剧组遗留人造雪惹怒商户	3860575	11月19日，沈阳西塔商业街的多家商户表示，剧组拍戏前没有通知过商户，拍完后也没将现场清理干净。目前，剧组方已对商户进行赔偿，并回购受损食材。
白岩松这句话4年后依然没变	3793164	白岩松曾有一句出圈金句：“世界杯，中国除了足球队没去，基本上其他都去了。”最近，他又说：“这届（世界杯）连大熊猫都去了，但是中国队还是没去。”
大雪扯掉新能源汽车的“遮羞布”	3647820	"近日，吉林长春出租车排队换电难的消息在社交平台广为传播。据悉，因雨雪混杂加上低温，电池与汽车底盘冻在一起，造成排队换电的队伍越来越长。
"
上海浦东机场托运行李中现7条活蛇	3546312	近日，上海浦东国际机场海关在对一架入境航班进行监管时从两件托运行李内共查获活体龟199只，活体蛇7条。目前，该案已移交相关部门进行后续处置。
一颗白菜售价90.33元？超市回应	3410123	
官方回应合肥步行街现尸体	3340338	11月17日，合肥淮河路步行街区疑似发现一具已腐败的尸体。据目击者介绍，是附近商铺老板闻到臭味后发现。警方回应称，目前正在对相关情况展开调查。
世界杯能让酒馆打个翻身仗吗？	3217442	世界杯马上就要到了，不仅球迷翘首以盼，小酒馆也跃跃欲试。不少老板提前装饰门店，并推出各项活动招揽消费者。那么，小酒馆能打个翻身仗吗？
央视官宣王冰冰回归	3136622	
广州交警回应大白送核酸样本时被撞	3071535	11月19日，广州荔湾区一位“大白”运送核酸检测样本的时候被闯红灯的汽车撞飞。19日下午，交警大队回应：大白已被送往医院，拍片结果还没有出来。
5岁女童幼儿园跌倒呕吐送医离世	2904988	
山东富豪1.2亿买上海700平江景豪宅	2852091	近日，山东神秘富豪岳红伟以1.2亿元买下上海市浦东新区浦明路868弄的房产。该房产总建筑面积超700平方米，为上海知名的江景豪宅。
北京昨增本土69+552 死亡1例	2770818	11月19日0时至24时，北京新增69例本土确诊病例和552例无症状感染者，含122例社会面筛查人员，死亡1例。
特朗普推特账号解封	2655358	当地时间11月19日，社交平台推特（Twitter）显示，美国前总统特朗普的推特账号已正式解封。
禁酒、史上最贵，本届世界杯不一般	2524309	2022年卡塔尔世界杯开赛在即。本届世界杯不一般：史上最昂贵世界杯、所有比赛场馆禁售酒精饮料的世界杯、首届在北半球冬季举办的世界杯…
17岁男孩跳入嘉陵江 警方仍在搜救	2494410	19日，南充警方发布警情通报称，11月15日10时许，有群众报警称有人在嘉陵江大桥跳桥轻生，后经调查发现正是唐某，目前，搜寻搜救工作仍在进行中。
人民日报仲音连发七文谈疫情防控	2349250	
男子出车祸600私了6天后大出血死亡	2255834	
梅西C罗同框拍摄广告大片	2130074	
英首相与泽连斯基参观俄军被毁装备	2080538	当地时间19日，英国首相苏纳克访问基辅，参观了俄军被毁装备。苏纳克指出，今年英国向乌克兰提供了超过23亿英镑的军事援助，明年也将提供军事援助。
